PBI	NYSE
PBR	NYSE
PBR.A	NYSE
PCG	NYSE
PCOR	NYSE
PCRX	NYSE
PD	NYSE
PDM	NYSE
PEB	NYSE
PEG	NYSE
PEN	NYSE
PFE	NYSE
PFGC	NYSE
PFS	NYSE
PFSI	NYSE
PG	NYSE
PGR	NYSE
PH	NYSE
PHIN	NYSE
PHM	NYSE
PHR	NYSE
PII	NYSE
PINE	NYSE
PINS	NYSE
PIPR	NYSE
PJT	NYSE
PK	NYSE
PKE	NYSE
PKG	NYSE
PL	NYSE
PLD	NYSE
PLGO	NYSE
PLNT	NYSE
PLOW	NYSE
PM	NYSE
PMT	NYSE
PNC	NYSE
PNFP	NYSE
PNR	NYSE
PNW	NYSE
POR	NYSE
POST	NYSE
PPG	NYSE
PPL	NYSE
PRG	NYSE
PRGO	NYSE
PRI	NYSE
PRIM	NYSE
PRK	NYSE
PRKS	NYSE
PRLB	NYSE
PRM	NYSE
PRMB	NYSE
PRU	NYSE
PS	NYSE
PSA	NYSE
PSFE	NYSE
PSN.US	NYSE
PSO	NYSE
PSQH	NYSE
PSTL	NYSE
PSX	NYSE
PUMP.US	NYSE
PVH	NYSE
PWR	NYSE
PXED	NYSE
Q	NYSE
QSR	NYSE
QTWO	NYSE
QUAD.US	NYSE
QXO	NYSE
R	NYSE
RACE	NYSE
RAL	NYSE
RAMP	NYSE
RBA	NYSE
RBLX	NYSE
RBRK	NYSE
RC	NYSE
RCI	NYSE
RCL	NYSE
RCUS	NYSE
RDDT	NYSE
RDN	NYSE
RDW.US	NYSE
RDY	NYSE
REA	NYSE
REF	NYSE
REI	NYSE
REPX	NYSE
RES	NYSE
REXR	NYSE
REZI	NYSE
RF	NYSE
RGA	NYSE
RGR	NYSE
RH	NYSE
RHI	NYSE
RHP	NYSE
RIG	NYSE
RIO	NYSE
RITM	NYSE
RJF	NYSE
RKT	NYSE
RL	NYSE
RLGT	NYSE
RLI	NYSE
RLJ	NYSE
RM	NYSE
RMD	NYSE
RNG	NYSE
RNGR	NYSE
RNR	NYSE
RNST	NYSE
ROG	NYSE
ROK	NYSE
ROL	NYSE
RPC.US	NYSE
RPM	NYSE
RPT	NYSE
RRC	NYSE
RRX	NYSE
RS	NYSE
RSG	NYSE
RSI	NYSE
RSKD	NYSE
RTO.US	NYSE
RTX	NYSE
RVLV	NYSE
RVTY	NYSE
RWT	NYSE
RXO	NYSE
RY	NYSE
RYAN	NYSE
RYN	NYSE
S.US	NYSE
SA	NYSE
SAFE.US	NYSE
SAH	NYSE
SAM	NYSE
SAP	NYSE
SAR.US	NYSE
SARO	NYSE
SBH	NYSE
SBS	NYSE
SBSI	NYSE
SBSW	NYSE
SCCO	NYSE
SCHW	NYSE
SCI	NYSE
SCL	NYSE
SCM	NYSE
SDHC	NYSE
SDRL	NYSE
SE	NYSE
SEAT	NYSE
SEG	NYSE
SEI.US	NYSE
SES	NYSE
SF.US	NYSE
SFBS	NYSE
SGHC	NYSE
SGI	NYSE
SHAK	NYSE
SHEL	NYSE
SHO	NYSE
SHW	NYSE
SIG	NYSE
SITC	NYSE
SITE	NYSE
SJM	NYSE
SKE	NYSE
SKT	NYSE
SKY.US	NYSE
SLB	NYSE
SLF	NYSE
SLG	NYSE
SLQT	NYSE
SLVM	NYSE
SM	NYSE
SMA	NYSE
SMBK	NYSE
SMG	NYSE
SMHI	NYSE
SMP.US	NYSE
SMR	NYSE
SMRT	NYSE
SMWB	NYSE
SN	NYSE
SNA	NYSE
SNAP	NYSE
SNDR	NYSE
SNN.US	NYSE
SNOW	NYSE
SNX.US	NYSE
SO	NYSE
SOBO	NYSE
SOC	NYSE
SOLV	NYSE
SON	NYSE
SONY	NYSE
SPB	NYSE
SPCE	NYSE
SPG	NYSE
SPGI	NYSE
SPHR	NYSE
SPIR	NYSE
SPOT	NYSE
SPXC	NYSE
SQM	NYSE
SR	NYSE
SRE	NYSE
SRFM	NYSE
SSB	NYSE
SSD	NYSE
SSMR	NYSE
ST	NYSE
STAG	NYSE
STC	NYSE
STDN	NYSE
STE	NYSE
STEM	NYSE
STLA.US	NYSE
STM.US	NYSE
STN	NYSE
STNG	NYSE
STT	NYSE
STUB	NYSE
STVN	NYSE
STWD	NYSE
STZ	NYSE
SU	NYSE
SUI.US	NYSE
SUN	NYSE
SUPV.US	NYSE
SUZ	NYSE
SVV	NYSE
SW	NYSE
SWK	NYSE
SWX	NYSE
SXC	NYSE
SXI	NYSE
SXT.US	NYSE
SYF	NYSE
SYK	NYSE
SYY	NYSE
T.US	NYSE
TAC	NYSE
TAK	NYSE
TAL	NYSE
TALO	NYSE
TAP	NYSE
TBBB	NYSE
TBI	NYSE
TBN	NYSE
TD	NYSE
TDAY	NYSE
TDC	NYSE
TDG	NYSE
TDOC	NYSE
TDS	NYSE
TDW	NYSE
TDY	NYSE
TE	NYSE
TECK	NYSE
TEL.US	NYSE
TEO	NYSE
TEVA	NYSE
TEX	NYSE
TFC	NYSE
TFII	NYSE
TFPM	NYSE
TFX	NYSE
TGLS	NYSE
TGT	NYSE
THC	NYSE
THG	NYSE
THO	NYSE
TIC	NYSE
TIMB	NYSE
TJX	NYSE
TKO	NYSE
TKR	NYSE
TLYS	NYSE
TME	NYSE
TMO	NYSE
TMP	NYSE
TNC	NYSE
