ABTC	American Bitcoin Corp	analyst_targets_A.txt
ACLX.CVR	ACLX Merger CVR	analyst_targets_A.txt
ADVM CVR	ADVM CVR	analyst_targets_A.txt
AIHS	Senmiao Technology Ltd	analyst_targets_A.txt
AIXC	AIxCrypto Holdings Inc	analyst_targets_A.txt
AKRO.CVR	AKRO.CVR	analyst_targets_A.txt
AONC	American Oncology Network Inc	analyst_targets_A.txt
APLS.CVR	APLS Merger CVR	analyst_targets_A.txt
APLT.CVR	APLT Merger CVR	analyst_targets_A.txt
PRESIGHT.DH	Presight AI Holding PLC	analyst_targets_ABUDHABI.txt
BSGR.NV	B&S Group SA	analyst_targets_AMSTERDAM.txt
EARTH.NV	Green Earth Group NV	analyst_targets_AMSTERDAM.txt
HAVAS.NV	Havas Bv	analyst_targets_AMSTERDAM.txt
TKWY.NV	Just Eat Takeaway.com NV	analyst_targets_AMSTERDAM.txt
BBBYW	Neighborhood Intelligence Incorporation Warrant	analyst_targets_B.txt
BOXL	Boxlight Corp	analyst_targets_B.txt
BTTC	Black Titan Corp	analyst_targets_B.txt
WHATS.BR	Whats Cooking Group NV	analyst_targets_BRUSSELS.txt
CDT	CDT Equity Inc	analyst_targets_C.txt
CKPT CVR	CKPT CVR	analyst_targets_C.txt
CLRS	Clear Street Group Inc	analyst_targets_C.txt
CNTA.CVR	CNTA CVR	analyst_targets_C.txt
CVR GBIO	Generation Bio Co CVR	analyst_targets_C.txt
CVR.AVDL	Avadel Pharmaceuticals CVR	analyst_targets_C.txt
BAVA.CO	Bavarian Nordic A/S	analyst_targets_COPENHAGEN.txt
EHLD	Euro-Holdings Ltd	analyst_targets_E.txt
EJH	E-Home Household Service	analyst_targets_E.txt
EPIX CVR	EPIX CVR Merger	analyst_targets_E.txt
ESPR CVR	ESPERION THERAPEUTICS-CVR	analyst_targets_E.txt
ETNB CVR	ETNB CVR Merger	analyst_targets_E.txt
FFAI	Faraday Future Intelligent Electric Inc	analyst_targets_F.txt
FRMM	Forum Markets Inc	analyst_targets_F.txt
FUSN.CVR	Fusion Pharmaceuticals Inc CVR Payment (Acquired)	analyst_targets_F.txt
A4Y0.DE	Accentro Real Estate AG	analyst_targets_FRANKFURT_A.txt
AMM.DE	Grounds Real Estate Development AG	analyst_targets_FRANKFURT_A.txt
AUS.DE	AT & S Austria Technologie & Systemtechnik AG	analyst_targets_FRANKFURT_A.txt
C3R.DE	Cherry SE	analyst_targets_FRANKFURT_C.txt
DFV.DE	DFV Deutsche Familienversicherung AG	analyst_targets_FRANKFURT_D.txt
MDG1.DE	Medigene AG	analyst_targets_FRANKFURT_M.txt
VROS.DE	Verianos Se	analyst_targets_FRANKFURT_V.txt
WDI.DE	Wirecard	analyst_targets_FRANKFURT_W.txt
GDHG	Golden Heaven Group Holdings	analyst_targets_G.txt
HLVX US CVR	HLVX US merger CVR	analyst_targets_H.txt
HOLX.CVR	HOLX Merger CVR	analyst_targets_H.txt
HOLO	Microcloud Hologram	analyst_targets_H.txt
HYZN	Hyzon Motors Inc.	analyst_targets_H.txt
EASOR.HE	Easor Oyj	analyst_targets_HELSINKI.txt
LASTIK.HE	Luotea Oyj	analyst_targets_HELSINKI.txt
00981.HK	Semiconductor Manufacturing International Corporation	analyst_targets_HONGKONG_HK1.txt
03333.HK	China Evergrande Group	analyst_targets_HONGKONG_HK2.txt
0728.HK	China Telecom	analyst_targets_HONGKONG_HK2.txt
0762.HK	China Unicom HK	analyst_targets_HONGKONG_HK2.txt
0883.HK	Cnooc	analyst_targets_HONGKONG_HK2.txt
0941.HK	China Mobile	analyst_targets_HONGKONG_HK2.txt
1186.HK	China Railway Construction	analyst_targets_HONGKONG_HK3.txt
1800.HK	China Communications Construction	analyst_targets_HONGKONG_HK3.txt
7489.HK	VOYAH Automobile Technology Co Ltd	analyst_targets_HONGKONG_HK6.txt
9658.HK	Super Hi International Holding Ltd	analyst_targets_HONGKONG_HK6.txt
INBX	Inhibrx Biosciences Inc	analyst_targets_I.txt
INBX.CVR	Inhibrx Biosciences Inc CVR	analyst_targets_I.txt
INHD	Inno Holdings Inc	analyst_targets_I.txt
JAGX	Jaguar Health Inc	analyst_targets_J.txt
JAGX.PFD	Jaguar Health/PFD Contra Stock	analyst_targets_J.txt
KUST	Kustom Entertainment Inc	analyst_targets_K.txt
LILAP	Liberty Latin American preferred stock	analyst_targets_L.txt
ATADL.L	Tatneft OAO-ADR	analyst_targets_LONDON.txt
CAN.L	Canal+ France	analyst_targets_LONDON.txt
EVR.L	Evraz PLC	analyst_targets_LONDON.txt
HEIQ.L	Heiq Plc	analyst_targets_LONDON.txt
IPF.L	International Personal Finance Plc	analyst_targets_LONDON.txt
LKOD.L	Lukoil OAO-ADR	analyst_targets_LONDON.txt
MNODL.L	MMC Norilsk Nickel OJSC-ADR	analyst_targets_LONDON.txt
NVTKL.L	NOVATEK OAO	analyst_targets_LONDON.txt
OGZDL.L	Gazprom OAO-ADR	analyst_targets_LONDON.txt
PFC.L	Petrofac	analyst_targets_LONDON.txt
ROSNL.L	Rosneft OAO	analyst_targets_LONDON.txt
SBER.MOEX	Sberbank Moscow	analyst_targets_LONDON.txt
SGGD.L	Surgutneftegas OAO-ADR	analyst_targets_LONDON.txt
SVSTL.L	Severstal PAO	analyst_targets_LONDON.txt
TET.L	Treatt Plc	analyst_targets_LONDON.txt
AGFX.L	Argentex Group Plc	analyst_targets_LONDONAIM.txt
ANIC.L	Agronomics Limited	analyst_targets_LONDONAIM.txt
APTA.L	Aptamer Group Plc	analyst_targets_LONDONAIM.txt
ARB.L	Argo Blockchain Plc	analyst_targets_LONDONAIM.txt
EXR.L	Engage Xr Holdings Plc	analyst_targets_LONDONAIM.txt
FOG.L	Falcon Oil & Gas Ltd.	analyst_targets_LONDONAIM.txt
GFIN.L	Gfinity Plc	analyst_targets_LONDONAIM.txt
INDI.L	Indus Gas Ld	analyst_targets_LONDONAIM.txt
NOG.L	Nostrum Oil & Gas PLC	analyst_targets_LONDONAIM.txt
OPG.L	Opg Power Ventures Plc	analyst_targets_LONDONAIM.txt
TRU.L	Trufin Plc	analyst_targets_LONDONAIM.txt
TRX.L	Tissue Regenix Group Plc	analyst_targets_LONDONAIM.txt
MBGL	Mobility Global Inc -W	analyst_targets_M1.txt
MENS	Jyong Biotech Ltd	analyst_targets_M1.txt
MFP	Midera Food Processing Inc	analyst_targets_M1.txt
MLGO	Microalgo Inc	analyst_targets_M2.txt
MRSN CVR	MRSN Merger CVR	analyst_targets_M2.txt
APPS.MC	Applus Services SA	analyst_targets_MADRID.txt
IMC.MC	Inmocemento	analyst_targets_MADRID.txt
NAAS	NaaS Technology Inc	analyst_targets_N.txt
NBEVQ	New Age Inc	analyst_targets_N.txt
NSTGQ CVR-Escrow	NSTGQ CVR-Escrow	analyst_targets_N.txt
NUWE	Nuwellis Inc	analyst_targets_N.txt
AAPL.24-7	Apple 24/7	analyst_targets_NYSE_A.txt
